river,station,target,thr,direction,chr_alpha,chr_precision,chr_recall,chr_f1,chr_brier,chr_roc_auc,chr_pr_auc,chr_n,chr_n_events,chr_event_rate,chr_lead_day,leg_precision,leg_recall,leg_f1,leg_brier
han,S01001,do,5.0,low,0.3500000000000001,1.0,0.2,0.33333333333333337,0.002223959964527188,0.7934020618556702,0.25505126614070855,1945,5,0.002570694087403599,1.0,0.0,0.0,0.0,0.02313624678663239
han,S01001,toc,2.1775353948275247,high,0.5500000000000002,0.738255033557047,0.5945945945945946,0.6586826347305389,0.04956746856990812,0.9048873205549763,0.6915560806737047,1870,185,0.09893048128342247,2.772727272727273,0.8333333333333334,0.02702702702702703,0.05235602094240838,0.09679144385026738
han,S01001,tn,2.1857779224713645,high,0.40000000000000013,0.6283185840707964,0.7473684210526316,0.6826923076923077,0.05115978114104401,0.9073393512851896,0.6619400518894313,1910,190,0.09947643979057591,2.9014084507042255,0.8333333333333334,0.02564102564102564,0.04975124378109452,0.1
han,S01001,tp,0.008889166521839797,high,0.5000000000000001,0.5423728813559322,0.5333333333333333,0.5378151260504201,0.0709331337372566,0.8572119658119659,0.5605666303680925,1805,180,0.0997229916897507,2.7708333333333335,0.746031746031746,0.25405405405405407,0.3790322580645161,0.0853185595567867
han,S01001,chl-a,20.0,high,0.30000000000000004,0.6815789473684211,0.8633333333333333,0.7617647058823529,0.0542428561412493,0.9467068627450981,0.8086158098109102,2000,300,0.15,2.891891891891892,0.853448275862069,0.33,0.47596153846153844,0.109
nak,S02020,do,5.0,low,0.6000000000000002,0.6216216216216216,0.5111111111111111,0.5609756097560976,0.016236325173865133,0.9279106280193237,0.6062000251358961,1885,45,0.023872679045092837,2.4347826086956523,1.0,0.06666666666666667,0.125,0.022281167108753316
nak,S02020,toc,3.4834459153088657,high,0.30000000000000004,0.37551020408163266,0.4842105263157895,0.42298850574712643,0.08001121188318351,0.7996086758683453,0.3877162330423099,1925,190,0.0987012987012987,2.5217391304347827,0.6461538461538462,0.22105263157894736,0.3294117647058823,0.08883116883116883
nak,S02020,tn,3.0,high,0.5000000000000001,0.8934210526315789,0.8331288343558282,0.8622222222222222,0.0937223077958245,0.9258293894244815,0.9209421973627037,1865,815,0.43699731903485256,2.90279823269514,0.9954853273137697,0.5411042944785276,0.7011128775834657,0.20160857908847185
nak,S02020,tp,0.1,high,0.1,0.0641025641025641,1.0,0.12048192771084336,0.0036958105812455,0.9749189189189189,0.05809262035648842,1855,5,0.0026954177897574125,3.0,0.0,0.0,0.0,0.0026954177897574125
nak,S02020,chl-a,20.0,high,0.3500000000000001,0.774390243902439,0.8561797752808988,0.8132337246531484,0.1304178572078453,0.8899376404494381,0.8875292739621912,1890,890,0.4708994708994709,2.9081364829396326,0.7720504009163803,0.7573033707865169,0.7646057855927398,0.21957671957671956
geum,S03009,do,5.0,low,0.40000000000000013,0.9482071713147411,0.9616161616161616,0.954864593781344,0.016593368529125428,0.9920619367325955,0.9855496442669989,2165,495,0.22863741339491916,2.9894957983193278,0.9171717171717172,0.9171717171717172,0.9171717171717172,0.03787528868360277
geum,S03009,toc,2.6825626393159236,high,0.5500000000000002,0.7529411764705882,0.6095238095238096,0.6736842105263158,0.045448798513955814,0.934719072814311,0.7571470597151224,2100,210,0.1,2.8046875,1.0,0.10952380952380952,0.19742489270386265,0.08904761904761904
geum,S03009,tn,1.7892579088608425,high,0.40000000000000013,0.5925925925925926,0.7619047619047619,0.6666666666666666,0.04705447577925259,0.9623086512091747,0.6966124274679233,2120,210,0.09905660377358491,2.81875,0.8888888888888888,0.0380952380952381,0.07305936073059362,0.09575471698113208
geum,S03009,tp,0.03490857176837467,high,0.25000000000000006,0.7,0.9333333333333333,0.8,0.031015620477128893,0.9660782136688872,0.8354102249756705,2140,210,0.09813084112149532,2.954081632653061,1.0,0.009302325581395349,0.018433179723502304,0.09953271028037383
geum,S03009,chl-a,6.544965426127116,high,0.45000000000000007,0.5970149253731343,0.5714285714285714,0.583941605839416,0.06123624052217309,0.8940729746444032,0.5891486137437373,2135,210,0.09836065573770492,2.6416666666666666,0.8032786885245902,0.23333333333333334,0.36162361623616235,0.08103044496487119
yeong,S04008,do,7.784721672534943,low,0.45000000000000007,0.8647342995169082,0.8325581395348837,0.8483412322274881,0.02819128291168772,0.9755054701978836,0.8831312639235047,2160,215,0.09953703703703703,2.88268156424581,0.8860759493670886,0.6511627906976745,0.7506702412868632,0.043055555555555555
yeong,S04008,toc,2.361268308427599,high,0.5000000000000001,0.8325123152709359,0.8047619047619048,0.8184019370460048,0.028525787120611972,0.9676741854636592,0.8796342717085277,2110,210,0.0995260663507109,2.863905325443787,1.0,0.2186046511627907,0.35877862595419846,0.07962085308056872
yeong,S04008,tn,1.5858745872974396,high,0.7000000000000002,0.9625,0.751219512195122,0.843835616438356,0.024512120528855194,0.9691907172440997,0.898783773851454,2060,205,0.09951456310679611,2.9220779220779223,0.0,0.0,0.0,0.10194174757281553
yeong,S04008,tp,0.009913043321474739,high,0.5000000000000001,0.5898876404494382,0.5147058823529411,0.5497382198952879,0.06611663824568072,0.909949705776135,0.6050154784847345,2050,204,0.09951219512195122,2.6095238095238096,0.4482758620689655,0.06220095693779904,0.1092436974789916,0.10341463414634146
yeong,S04008,chl-a,20.0,high,0.30000000000000004,0.7032569360675512,0.8675595238095238,0.7768154563624251,0.10856298216278297,0.918389152427313,0.8101561422100108,2110,672,0.3184834123222749,2.9571183533447685,0.7571743929359823,0.5104166666666666,0.6097777777777778,0.2080568720379147
