river,station,target,nse,rmse,mae,r2,pbias,n_test,nse_obs,rmse_obs,n_obs
han,S01001,do,0.4613063002439338,2.2578041758621055,1.533124100030509,0.4748847984813129,3.1687666707124107,448,0.13066911100054068,1.7821929897130164,391
han,S01001,toc,0.3597522819759418,0.3914021871645184,0.2590010633453677,0.38791782609979886,5.2288658040862455,448,0.015815118554497354,0.33514846421406236,376
han,S01001,tn,0.3585005731863934,0.4481664536865922,0.30404324292730617,0.36302487686883256,2.4255077474405464,448,-0.6299036743653408,0.3818450919887597,384
han,S01001,tp,0.22321458360120017,0.0024908639981866235,0.0016385549356408389,0.23437361657555994,0.8998630430677103,448,0.0783006970919482,0.002718156695518921,363
han,S01001,chl-a,0.27188401487672054,8.640884116193458,4.873403647183076,0.31796342565559754,17.678248834555394,448,0.22395666148093107,9.260386616913916,402
nak,S02020,do,0.6962267921073151,1.7175518224471304,1.3031076922887952,0.7007262243195829,-1.932392521319436,448,0.7474627974116497,1.527335813990559,377
nak,S02020,toc,0.4610935994723723,0.5419349853711501,0.40008258430901517,0.4645161743598871,-0.49717356603944557,448,0.32685437589623,0.5499800967845069,387
nak,S02020,tn,0.29717214510735135,0.5561165569965614,0.3792806801066218,0.404925227943342,6.814148426824721,448,0.14422721362225688,0.6323793529845263,373
nak,S02020,tp,0.5747757812539713,0.01086834186769016,0.006718434709177482,0.5784813637884401,4.753896742515593,448,0.5803905399238292,0.01233538171780677,371
nak,S02020,chl-a,0.25031772464642055,10.502887096722336,7.079106086513112,0.2535444704427244,-0.11781542735101573,448,0.24907320878361028,11.407767497933836,378
geum,S03009,do,0.74213536357849,1.621957574224919,0.8656890790741809,0.7460582398519487,-0.06868004786582936,448,0.9223363054612155,0.8501907400919705,433
geum,S03009,toc,-0.22726701970638818,0.3505792843277963,0.2978948262670825,0.2149295597074836,8.779185858866052,448,-1.1856252560320342,0.3389687151045569,420
geum,S03009,tn,0.6770583608746459,0.140567965755359,0.10609064979383076,0.7213182798410268,1.7172932861435624,448,0.6488493677828794,0.154113350155193,424
geum,S03009,tp,0.5697998690577049,0.00793171325682221,0.004784879734891241,0.7701658011959434,14.49865018919701,448,0.5461178636806796,0.008868408638662305,428
geum,S03009,chl-a,0.3376581501260105,1.1081393197244773,0.7826479682263889,0.338650903740917,0.4115234815774508,448,0.29022991013751465,1.30270016157874,425
yeong,S04008,do,0.5384895834870639,1.3391184296269782,0.9655362754755517,0.5864006779717917,3.4807717488604464,448,0.5822054143188926,1.2354900275984289,432
yeong,S04008,toc,0.36651867907623625,0.27994357946475357,0.17340597919879966,0.548212885191252,5.516192941681817,448,0.2798549382859542,0.30862122992730895,422
yeong,S04008,tn,0.17443149860640028,0.3003304287412879,0.22712805154748092,0.3304076970420232,11.202930206162291,448,0.21746040384366794,0.3198566684195691,412
yeong,S04008,tp,0.18578696979840714,105.00284211586057,46.01568936810621,0.22674340704573523,22.460121996063908,448,-123885082.2664632,34.69324602231079,410
yeong,S04008,chl-a,0.40622440910253377,13.888706952954916,8.002205632924033,0.43265783271718933,13.515659106549299,448,0.4249777682860273,15.920605603823281,424
