station,flow_code,flow_km,level_code,level_km,dam_code,dam_km
S01001,1015545,4.51,1015645,4.51,,
S01002,1007555,2.18,1007655,2.18,,
S01003,1016570,1.53,1016670,1.53,,
S01004,1018540,2.03,1018640,2.03,,
S01005,1007525,0.08,1007625,0.08,,
S01006,1006567,1.07,1006667,1.07,1006110,15.17
S01007,1002587,1.59,1002687,1.59,,
S01009,1022580,3.26,1022680,3.26,,
S01010,1010595,0.99,1010695,0.99,1012110,11.32
S01011,1007520,3.12,1007620,3.12,,
S01012,1013537,4.2,1013637,4.2,1012110,14.04
S01013,1022570,1.32,1022670,1.32,,
S01014,1003565,3.67,1003665,3.67,1003110,0.2
S01015,1011520,11.86,1011650,3.96,,
S01016,1023540,0.23,1023640,0.23,,
S01017,1022548,0.53,1022648,0.53,,
S01018,1003530,2.75,1003630,2.75,,
S01019,1010580,0.16,1010680,0.16,1009710,6.38
S01020,1007540,3.85,1007640,3.85,,
S01021,1004590,0.54,1004690,0.54,1003110,10.78
S01022,1007555,2.8,1007655,2.8,,
S01023,1007517,0.15,1007617,0.15,,
S02001,2014520,1.81,2014620,1.81,,
S02002,2014540,0.09,2014640,0.09,,
S02003,2011550,3.46,2011650,3.46,,
S02004,2012595,4.15,2012695,4.15,,
S02005,2014590,0.26,2014690,0.26,,
S02006,2020540,1.36,2020640,1.36,,
S02007,2019595,0.91,2019695,0.91,,
S02008,2022510,1.07,2022610,1.07,2021110,14.62
S02009,2012596,2.55,2012696,2.55,,
S02010,2012553,0.9,2012653,0.9,,
S02011,2003570,0.41,2003670,0.41,,
S02012,2010590,5.45,2010690,5.45,,
S02013,2019535,2.01,2019635,2.01,2018110,14.07
S02014,2007540,0.39,2007640,0.39,,
S02015,2011540,4.72,2011640,4.72,,
S02017,2022510,7.82,2022610,7.82,2021110,13.48
S02018,2001528,0.16,2001628,0.16,,
S02019,2011540,3.0,2011640,3.0,,
S02020,2009520,5.37,2009620,5.37,,
S02021,2009570,0.38,2009670,0.38,,
S02022,2006525,4.05,2006625,4.05,,
S02023,2001580,0.76,2001680,0.76,2001110,0.91
S02024,2019520,0.09,2019620,0.09,,
S03002,3009593,0.64,3009698,1.26,3008611,9.22
S03003,3008585,8.24,3008685,8.24,3008611,8.17
S03004,3012520,1.85,3012620,1.86,,
S03005,3012564,1.79,3012675,7.74,,
S03006,3011595,0.15,3011695,0.09,3008110,15.27
S03007,3008530,9.98,3008630,9.98,3008611,17.9
S03008,3001595,3.73,3001695,3.73,3001110,3.32
S03009,3008580,1.42,3008680,1.42,3008611,2.6
S03010,3008530,2.36,3008630,2.36,3008611,17.39
S03011,3006580,0.06,3006680,0.06,,
S03012,3008570,0.82,3008670,0.79,3001110,18.43
S03013,3012505,0.21,3012605,0.24,3008110,18.72
S03014,3012535,1.74,3012635,1.72,,
S04001,4007595,5.55,4007695,5.55,4007110,5.68
S04002,5004596,0.76,5004690,4.14,,
S04003,5001580,2.03,5001680,2.03,,
S04004,3302517,2.22,3302617,2.14,4001110,7.58
S04005,5004520,0.58,5004620,0.58,,
S04006,4009530,1.19,4009630,1.19,,
S04007,5101531,3.64,5101631,3.64,5101110,3.54
S04008,4007560,0.49,4007660,0.49,4007110,12.95
S04009,5001540,0.18,5001640,0.18,5002201,19.12
