station,river,name,lat,lon,cat_id,start,end,n_hours_grid,cov_do,n_do,cov_toc,n_toc,cov_tn,n_tn,cov_tp,n_tp,cov_chl-a,n_chl-a,is_representative
S01001,han,가평,37.673854,127.38222,10150601,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8473,47014,0.8282,45956,0.8192,45456,0.8196,45477,0.8206,45533,True
S01002,han,흥천,37.379891,127.538081,10071112,2013-01-02 16:00:00,2019-04-30 23:00:00,55424,0.8275,45863,0.7372,40860,0.7377,40888,0.7438,41223,0.7683,42582,False
S01003,han,경안천,37.442547,127.310526,10160509,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.7309,40556,0.6894,38250,0.0,0,0.0,0,0.624,34625,False
S01004,han,구리,37.563112,127.116663,10180706,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8475,47027,0.838,46500,0.0,0,0.0,0,0.0,0,False
S01005,han,여주,37.255051,127.680034,10070609,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8879,49269,0.7925,43974,0.7996,44366,0.7808,43323,0.8674,48127,False
S01006,han,원주,37.423617,127.951525,10060504,2013-02-01 00:00:00,2019-04-30 23:00:00,54720,0.8608,47105,0.843,46129,0.0,0,0.0,0,0.0,0,False
S01007,han,평창강,37.215474,128.330895,10021101,2013-01-07 16:00:00,2019-04-30 23:00:00,55304,0.8187,45279,0.7324,40505,0.7632,42209,0.7899,43687,0.0,0,False
S01009,han,한탄강,38.032802,127.077585,10221502,2012-12-31 01:00:00,2019-04-30 07:00:00,55471,0.8264,45842,0.748,41494,0.0,0,0.0,0,0.0,0,False
S01010,han,서상,37.955208,127.685785,10101201,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8393,46573,0.8328,46210,0.7723,42854,0.7365,40868,0.7665,42530,False
S01011,han,강천,37.242509,127.746077,10061007,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8314,46134,0.7588,42102,0.0,0,0.0,0,0.7837,43483,False
S01012,han,의암호,37.877653,127.678647,10130201,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.853,47331,0.8263,45847,0.8366,46419,0.7911,43895,0.8527,47315,False
S01013,han,신천,38.004491,127.07899,10221309,2013-02-04 18:00:00,2019-04-30 23:00:00,54630,0.8475,46297,0.7522,41090,0.0,0,0.0,0,0.0,0,False
S01014,han,충주,37.02413,127.952738,10032003,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.7752,43012,0.7255,40254,0.6966,38653,0.7307,40547,0.7254,40252,False
S01015,han,인제,38.159879,128.200322,10110401,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8084,44857,0.7389,41001,0.7514,41695,0.7221,40066,0.0,0,False
S01016,han,미산,38.02491,126.982892,10230101,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.7789,43217,0.7475,41474,0.7697,42706,0.7705,42755,0.0,0,False
S01017,han,포천,38.006968,127.236411,10220909,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8242,45734,0.7318,40604,0.7582,42068,0.7849,43553,0.0,0,False
S01018,han,단양,37.085671,128.484395,10030603,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8076,44810,0.8302,46065,0.8199,45494,0.8374,46463,0.0,0,False
S01019,han,화천,38.09903,127.709603,10100901,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8292,46011,0.8395,46584,0.7882,43734,0.8151,45226,0.0,0,False
S01020,han,능서,37.320053,127.613025,10070905,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.867,48106,0.8667,48090,0.8669,48102,0.8654,48019,0.8656,48030,False
S01021,han,달천,36.928513,127.928599,10041403,2013-04-01 15:00:00,2019-04-30 23:00:00,53289,0.8455,45056,0.7892,42056,0.8244,43931,0.7652,40777,0.8227,43843,False
S01022,han,복하천,37.363618,127.541519,10071407,2013-05-01 00:00:00,2019-04-30 23:00:00,52584,0.8121,42704,0.7794,40985,0.7634,40140,0.7609,40010,0.8119,42695,False
S01023,han,청미천,37.203522,127.71901,10070608,2013-04-01 13:00:00,2019-04-30 23:00:00,53291,0.7789,41507,0.7375,39300,0.7539,40178,0.7396,39413,0.7657,40806,False
S02001,nak,성서,35.819474,128.492083,20140101,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8359,46380,0.7691,42673,0.0,0,0.0,0,0.8279,45939,False
S02002,nak,고령,35.751973,128.386795,20140301,2013-11-11 00:00:00,2019-04-30 23:00:00,47928,0.9021,43236,0.8155,39085,0.872,41795,0.8691,41655,0.9114,43683,False
S02003,nak,왜관,35.969196,128.395499,20110405,2013-04-01 00:00:00,2019-04-30 23:00:00,53304,0.8513,45377,0.8432,44948,0.0,0,0.0,0,0.9018,48070,False
S02004,nak,강창,35.882403,128.50058,20121905,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.7658,42494,0.7481,41511,0.0,0,0.0,0,0.7695,42698,False
S02005,nak,적포,35.610874,128.360689,20140703,2013-02-22 00:00:00,2019-04-30 23:00:00,54216,0.8825,47845,0.8277,44877,0.8183,44364,0.8292,44956,0.9106,49369,False
S02006,nak,청암,35.39299,128.517692,20200410,2013-02-01 00:00:00,2019-04-30 23:00:00,54720,0.9127,49942,0.82,44871,0.8791,48106,0.8274,45278,0.9176,50212,False
S02007,nak,칠서,35.387538,128.438374,20191015,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.921,51101,0.8665,48079,0.0,0,0.0,0,0.8864,49182,False
S02008,nak,창암,35.379261,128.832754,20220101,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8448,46877,0.8433,46792,0.0,0,0.0,0,0.9035,50133,False
S02009,nak,다산,35.85393,128.418596,20110808,2013-04-01 00:00:00,2019-04-30 23:00:00,53304,0.8697,46358,0.7915,42189,0.7824,41706,0.8021,42754,0.833,44400,False
S02010,nak,남천,35.855507,128.707899,20121007,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8226,45645,0.7472,41461,0.0,0,0.0,0,0.0,0,False
S02011,nak,안동,36.543947,128.461752,20030604,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.7881,43728,0.7803,43294,0.0,0,0.0,0,0.7705,42751,False
S02012,nak,해평,36.19957,128.358543,20110102,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.9026,50084,0.8292,46012,0.0,0,0.0,0,0.842,46720,False
S02013,nak,진주,35.240937,128.158665,20190319,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8749,48545,0.8112,45009,0.0,0,0.0,0,0.8453,46901,False
S02014,nak,풍양,36.552512,128.298197,20070101,2013-01-31 17:00:00,2019-04-30 23:00:00,54727,0.8146,44580,0.7638,41798,0.7445,40742,0.7651,41869,0.8193,44839,False
S02015,nak,칠곡,36.069536,128.384756,20110307,2013-11-11 00:00:00,2019-04-30 23:00:00,47928,0.8571,41080,0.8303,39797,0.8455,40522,0.8265,39611,0.9362,44872,False
S02017,nak,상동,35.363586,128.904788,20220109,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8517,47258,0.8267,45871,0.8256,45808,0.8511,47227,0.9256,51361,False
S02018,nak,봉화,36.930161,129.054875,20010302,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.6407,35550,0.6059,33618,0.6142,34082,0.6365,35316,0.0,0,False
S02019,nak,구미,36.08386,128.397766,20110304,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8721,48392,0.7878,43711,0.0,0,0.0,0,0.0,0,False
S02020,nak,신암,36.405594,128.307024,20070305,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8895,49357,0.8809,48877,0.8977,49808,0.9016,50027,0.9026,50082,True
S02021,nak,도개,36.274288,128.346702,20090203,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8685,48190,0.8389,46546,0.9064,50294,0.9136,50692,0.9421,52273,False
S02022,nak,회상,36.441971,128.265944,20070203,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.9039,50155,0.8855,49133,0.8494,47132,0.8904,49403,0.9046,50192,False
S02023,nak,안동댐하류,36.580302,128.764387,20011201,2013-04-01 00:00:00,2019-04-30 23:00:00,53304,0.9179,48930,0.9107,48545,0.876,46696,0.8519,45412,0.9114,48583,False
S02024,nak,남강,35.362076,128.41557,20191007,2013-04-01 00:00:00,2019-04-30 23:00:00,53304,0.9231,49203,0.894,47654,0.8974,47833,0.8714,46450,0.9144,48742,False
S03002,geum,갑천,36.441231,127.388151,30090614,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8539,47380,0.8027,44540,0.0,0,0.0,0,0.8295,46027,False
S03003,geum,대청호,36.432077,127.552556,30080401,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8484,47073,0.7682,42625,0.8493,47127,0.8573,47571,0.8042,44623,False
S03004,geum,공주,36.460321,127.143679,30120419,2013-01-09 00:00:00,2018-01-27 08:00:00,44265,0.8885,39331,0.8117,35931,0.8361,37010,0.86,38069,0.8561,37897,False
S03005,geum,부여,36.325994,126.951572,30120833,2013-01-09 17:00:00,2019-04-30 23:00:00,55255,0.8827,48771,0.8124,44891,0.8201,45316,0.8275,45725,0.7754,42847,False
S03006,geum,미호천,36.525191,127.320098,30111522,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8373,46460,0.7828,43436,0.0,0,0.0,0,0.7597,42153,False
S03007,geum,장계,36.377695,127.637659,30080105,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.9006,49974,0.8714,48352,0.8663,48069,0.8469,46993,0.8941,49612,False
S03008,geum,용담호,35.93601,127.486157,30010705,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8449,46881,0.8063,44741,0.8223,45629,0.8061,44730,0.8276,45920,False
S03009,geum,현도,36.459901,127.461732,30080501,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.9353,51895,0.8724,48407,0.8675,48136,0.864,47942,0.8607,47755,True
S03010,geum,옥천천,36.336869,127.565773,30080303,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8214,45578,0.7409,41112,0.8021,44508,0.7734,42916,0.0,0,False
S03011,geum,이원,36.239968,127.668092,30060101,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8641,47949,0.7792,43237,0.8019,44493,0.7874,43688,0.0,0,False
S03012,geum,봉황천,36.108051,127.545148,30040317,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.6147,34108,0.6751,37458,0.671,37232,0.6828,37887,0.0,0,False
S03013,geum,남면,36.479886,127.271225,30120110,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.6896,38263,0.6481,35960,0.6457,35827,0.637,35344,0.6538,36278,False
S03014,geum,유구천,36.468364,127.051685,30120629,2013-04-01 00:00:00,2019-04-30 23:00:00,53304,0.8038,42846,0.7701,41047,0.7649,40774,0.7743,41271,0.8041,42864,False
S04001,yeong,주암호,35.011809,127.235383,40070701,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8791,48776,0.8645,47969,0.8775,48690,0.8403,46626,0.806,44725,False
S04002,yeong,나주,34.978524,126.633109,50040505,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8827,48977,0.8565,47525,0.8281,45947,0.843,46775,0.8848,49094,False
S04003,yeong,서창교,35.117622,126.824465,50010817,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.9108,50536,0.8661,48060,0.0,0,0.0,0,0.8918,49481,False
S04004,yeong,옥정호,35.608962,127.106866,40010901,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.8471,47004,0.8034,44576,0.7964,44189,0.7542,41849,0.8061,44728,False
S04005,yeong,용봉,35.073675,126.777789,50040103,2012-12-31 01:00:00,2019-03-28 00:00:00,54672,0.8009,43788,0.7246,39615,0.7431,40625,0.7353,40202,0.787,43027,False
S04006,yeong,구례,35.187937,127.546596,40090423,2013-03-29 11:00:00,2019-04-30 12:00:00,53354,0.7099,37874,0.6524,34808,0.6812,36345,0.6779,36171,0.0,0,False
S04007,yeong,탐진호,34.781822,126.873564,51010116,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.9035,50133,0.8733,48457,0.8223,45628,0.8731,48443,0.8927,49536,False
S04008,yeong,동복호,35.085692,127.098789,40070406,2012-12-31 01:00:00,2019-04-30 23:00:00,55487,0.9341,51828,0.9213,51121,0.9046,50195,0.905,50218,0.8297,46038,True
S04009,yeong,우치,35.242171,126.888631,50010605,2013-04-01 00:00:00,2019-04-30 23:00:00,53304,0.8798,46896,0.822,43818,0.8532,45478,0.8533,45483,0.8834,47087,False
