station,asos_code,asos_name,asos_km
S01001,102,백령도,38.1
S01002,217,영천,36.57
S01003,115,울릉도,18.11
S01004,102,백령도,13.01
S01005,217,영천,25.85
S01006,217,영천,8.73
S01007,217,영천,36.69
S01009,102,백령도,52.17
S01010,106,동해,7.22
S01011,217,영천,21.31
S01012,98,동두천,5.64
S01013,102,백령도,49.1
S01014,217,영천,35.69
S01015,96,백령도,28.16
S01016,102,백령도,50.43
S01017,106,동해,45.26
S01018,211,봉화,34.22
S01019,106,동해,21.85
S01020,217,영천,29.88
S01021,217,영천,46.36
S01022,217,영천,36.12
S01023,217,영천,25.76
S02001,221,제천,10.92
S02002,221,제천,23.02
S02003,221,제천,20.36
S02004,221,제천,8.14
S02005,252,양산,33.2
S02006,140,군산,22.83
S02007,140,군산,27.36
S02008,140,군산,22.36
S02009,221,제천,15.7
S02010,146,전주,5.89
S02011,137,상주,23.88
S02012,136,안동,33.59
S02013,152,울산,10.78
S02014,211,봉화,32.04
S02015,221,제천,28.34
S02017,140,군산,26.11
S02018,137,상주,49.54
S02019,221,제천,28.85
S02020,136,안동,35.21
S02021,136,안동,32.89
S02022,136,안동,34.94
S02023,137,상주,3.51
S02024,140,군산,27.35
S03002,127,충주,7.81
S03003,127,충주,17.23
S03004,127,충주,22.94
S03005,130,울진,27.76
S03006,119,수원,16.02
S03007,127,충주,23.51
S03008,121,영월,36.43
S03009,127,충주,12.49
S03010,127,충주,17.5
S03011,136,안동,28.51
S03012,121,영월,28.45
S03013,127,충주,15.2
S03014,127,충주,30.87
S04001,156,광주,30.3
S04002,155,창원,10.48
S04003,143,대구,8.58
S04004,247,남원,22.91
S04005,155,창원,8.72
S04006,162,통영,37.0
S04007,155,창원,35.83
S04008,143,대구,17.77
S04009,143,대구,11.64
