river,target,stations,median_nse,mean_nse,median_cov80_cal
geum,chl-a,10,0.4142593784068275,0.44204736925732646,0.8166288994910481
geum,do,13,0.41215007803244585,0.4846092741944099,0.805
geum,tn,11,0.7095557232603839,0.7090456268677728,0.7978142076502732
geum,toc,13,0.46716621334701125,0.4634756200575391,0.8098591549295775
geum,tp,11,0.3489563543402191,0.33801351834374327,0.8094117647058824
han,chl-a,12,0.5268128027599596,0.5008133831097323,0.8025194991789819
han,do,22,0.7940629717742658,0.6964789633893246,0.8066393294337575
han,tn,16,0.6276823150230759,0.5660341216545309,0.8194518554450643
han,toc,22,0.5911420573734198,0.4850583266747771,0.811986411421751
han,tp,16,0.19285058101489733,0.20184488545044824,0.8122394220846234
nak,chl-a,20,0.37245206159346506,0.35312730698661715,0.8252272458977689
nak,do,23,0.6977434512376015,0.6773831686535065,0.8095238095238095
nak,tn,13,0.5672174441606734,0.5773915710474624,0.8116343490304709
nak,toc,23,0.4586042887745748,0.38276178869322314,0.8073394495412844
nak,tp,13,0.4715655311808208,0.41278996333863877,0.8071625344352618
yeong,chl-a,8,0.5419216843968155,0.46768315219595,0.8019912658548582
yeong,do,9,0.7130672334834838,0.6045225749797667,0.7906976744186046
yeong,tn,8,0.7597861016292651,0.591967593419232,0.8095333587980647
yeong,toc,9,0.4896432244685547,0.5015822753680226,0.8126888217522659
yeong,tp,8,0.4746793678029194,0.391388092710792,0.8008820753181656
