river,target,legacy_paper_nse,legacy_nse_obs,legacy_nse_imp,legacy_rmse,chronos_zs_nse,chronos_zs_rmse,chronos_zs_crps,chronos_zs_cov80,chronos_zs_cov90,chronos_zs_calib,chronos_lora_nse,chronos_lora_rmse,chronos_lora_crps,chronos_lora_cov80,best_model,best_nse
han,do,0.915,-0.1610045494957357,0.4038573963815142,2.407466782630296,0.8303179800242343,0.7873722199535705,0.3543600891646281,0.6521739130434783,0.7851662404092071,0.0716843259042747,0.8322081727953758,0.7829744256025732,0.3476118346965017,0.6828644501278772,chronos_lora,0.8322081727953758
han,toc,0.68,0.1613755980085439,0.3825918986273633,0.3467239384905975,0.7145846130887497,0.1804835315583502,0.0841399855491662,0.7898936170212766,0.8430851063829787,0.0286474164133738,0.717892254819787,0.1794346838976888,0.0836603200531488,0.7819148936170213,chronos_lora,0.717892254819787
han,tn,0.712,-0.8849704785886021,0.3233256993847387,0.528349335670683,0.7119970877827364,0.1605109564704305,0.0657710083547721,0.7578125,0.8359375,0.047470238095238,0.7136642135622078,0.1600457175600185,0.0651777983644699,0.7526041666666666,chronos_lora,0.7136642135622078
han,tp,0.402,0.1144220848298929,0.2270344167251681,0.0024715081173184,0.0341527267991057,0.0027824930465883,0.00110839335461,0.8209366391184573,0.8980716253443526,0.0323101141282959,0.0835969705742862,0.0027103358948447,0.0010909552767876,0.8319559228650137,legacy,0.1144220848298929
han,chl-a,0.702,0.1777510714415797,0.2394988549148576,8.804573905477449,0.3417532026986657,8.528654246966797,2.972443851706112,0.7388059701492538,0.8432835820895522,0.0668088130774698,0.3459806891783442,8.501223163115982,2.9340261831181182,0.763681592039801,chronos_lora,0.3459806891783442
nak,do,0.511,0.7010219369726366,0.6326643007142967,1.926359155427849,0.781579404763042,1.4204261063470385,0.6448101033125787,0.7506631299734748,0.843501326259947,0.0277756726032587,0.7857476258818799,1.4068074970467883,0.6359005433443139,0.7639257294429708,chronos_lora,0.7857476258818799
nak,toc,0.625,0.2238572153959666,0.3979024032699824,0.5350353209347111,0.2238823274824917,0.5905494190008177,0.2295130567539973,0.7338501291989664,0.8294573643410853,0.0276485788113695,0.2331031942418449,0.5870308493929093,0.227377827778297,0.7364341085271318,chronos_lora,0.2331031942418449
nak,tn,0.778,0.1614161291303905,0.3630512586686462,0.5547524348079987,0.3093637480017216,0.5680978316302434,0.2234628804896183,0.7533512064343163,0.8579088471849866,0.0343163538873994,0.3225267627724719,0.5626580255915141,0.2216575017107993,0.7640750670241286,chronos_lora,0.3225267627724719
nak,tp,0.509,0.5382081948926265,0.545904681130954,0.0114319427132227,0.4358916490245995,0.0143024758324874,0.0053999449690564,0.8194070080862533,0.8867924528301887,0.0361956103195995,0.4506697289556345,0.014113889856222,0.0053369535221929,0.8328840970350404,legacy,0.5382081948926265
nak,chl-a,0.482,0.2179395760324154,0.2348924180467266,10.657137172228136,0.1231713627206434,12.327051907137092,4.976170360303096,0.7116402116402116,0.8253968253968254,0.0312169312169312,0.1185414593442074,12.35955421979086,4.9564342994165695,0.7301587301587301,legacy,0.2179395760324154
geum,do,0.874,0.9037238986556024,0.7581298879248801,1.5710698363878652,0.9569012390343556,0.6333441159920509,0.2936794270535757,0.6073903002309469,0.7274826789838337,0.0798746288353678,0.9580225013851256,0.6250512465903671,0.2867091966914797,0.6235565819861432,chronos_lora,0.9580225013851256
geum,toc,0.674,-1.1672593671340723,-0.1406160169285359,0.3492816819651765,0.703383476765964,0.1248732558249871,0.0511013153780418,0.7119047619047619,0.819047619047619,0.0397959183673469,0.7100255440118193,0.1234672105469091,0.0505214547590161,0.7238095238095238,chronos_lora,0.7100255440118193
geum,tn,0.51,0.6970357262280154,0.7152848368073452,0.1319431806325117,0.7252264448814723,0.1363267246414268,0.062812555720053,0.8254716981132075,0.8891509433962265,0.0250673854447439,0.7295463563774806,0.1352508342291241,0.0625535601757803,0.8372641509433962,chronos_lora,0.7295463563774806
geum,tp,0.742,0.6473960934511979,0.6723347900051868,0.0069248270888034,0.7823094022987163,0.0061417762039968,0.0023268432507091,0.7920560747663551,0.9018691588785048,0.0196929238985313,0.7889164740773542,0.0060478543220897,0.0022987145326879,0.7990654205607477,chronos_lora,0.7889164740773542
geum,chl-a,0.108,0.2330229464748525,0.2850085926699562,1.2142529783611895,0.2345084011053737,1.3528692789787902,0.5476582498782265,0.6941176470588235,0.8329411764705882,0.0391596638655462,0.2315801820874102,1.3554543604659457,0.5450237019674189,0.7364705882352941,chronos_zs,0.2345084011053737
yeong,do,0.565,0.511860879030738,0.5268173710107613,1.4112095654620194,0.6997363508940965,1.047391919544482,0.433380627382626,0.6851851851851852,0.8078703703703703,0.0527116402116402,0.7024100961928743,1.042718157960118,0.4274609931180853,0.6944444444444444,chronos_lora,0.7024100961928743
yeong,toc,0.562,0.2656802752376563,0.3471196134860861,0.2829788564121998,0.4879221646759738,0.2602458383416902,0.0951459659471066,0.7654028436018957,0.8744075829383886,0.0145565335138794,0.4832431805442844,0.2614321005891059,0.0949395317459902,0.7725118483412322,chronos_zs,0.4879221646759738
yeong,tn,0.776,0.1206823935108367,0.2071053029558885,0.3469211650793394,0.8124935848170143,0.1565706353420485,0.0693679658234131,0.8859223300970874,0.9466019417475728,0.0411234396671289,0.8181992866664805,0.1541700594611477,0.0685388553440633,0.8956310679611651,chronos_lora,0.8181992866664805
yeong,tp,0.209,-154283770.94046566,0.1338745833041407,155.0640284657447,0.526756742370094,0.0021443361010333,0.0009444898639103,0.824390243902439,0.8902439024390244,0.027177700348432,0.5381395936482319,0.002118390432313,0.0009345787117175,0.824390243902439,chronos_lora,0.5381395936482319
yeong,chl-a,0.602,0.4082391289721151,0.3925899435262538,14.702489425462554,0.3565995573940023,16.840614809647057,4.759148340188356,0.7240566037735849,0.8561320754716981,0.0690700808625336,0.3493563101667793,16.935143302306436,4.687807659505066,0.7570754716981132,legacy,0.4082391289721151
