mode,river,station,target,nse,rmse,crps,cov80,calib,n
zs_nocov,han,S01001,do,0.8431339939037632,0.6814718533023786,0.27476205561241646,0.722397476340694,0.03195132942767013,317
zs_cov,han,S01001,do,0.8372391298512356,0.6941582743705911,0.2769768391333218,0.7381703470031545,0.02969806219017574,317
zs_nocov,nak,S02020,do,0.8484302918809599,1.0943434887551664,0.518675694853176,0.72782874617737,0.03682830930537352,327
zs_cov,nak,S02020,do,0.8508668318784359,1.0855118606774354,0.5163045710090539,0.7247706422018348,0.038575797291393606,327
zs_nocov,geum,S03009,do,0.8153614708296028,0.38785450777659275,0.18252430702733477,0.6390532544378699,0.06153846153846154,169
zs_cov,geum,S03009,do,0.7995127518192127,0.40415788374991507,0.18528430651454883,0.6863905325443787,0.05604395604395603,169
zs_nocov,yeong,S04008,do,0.7859689372683344,0.6962731243795035,0.32643064403339955,0.6445783132530121,0.0827882960413081,166
zs_cov,yeong,S04008,do,0.7807888936950429,0.7046484566108747,0.3247127543085694,0.6867469879518072,0.06815834767641997,166
zs_nocov,han,S01001,toc,0.0036780967077023607,0.2668474929277893,0.07950257165826916,0.775974025974026,0.01808905380333951,308
zs_cov,han,S01001,toc,-0.007475054343714316,0.2683369249937315,0.07941038312199973,0.7727272727272727,0.018552875695732846,308
zs_nocov,nak,S02020,toc,0.5663911078620034,0.4047618712616079,0.16268813037701163,0.7712418300653595,0.026610644257703094,306
zs_cov,nak,S02020,toc,0.5529162311617986,0.41100296676317616,0.16369889684506145,0.7418300653594772,0.02978524743230626,306
zs_nocov,geum,S03009,toc,0.37195180898992,0.06929137208446609,0.02790435283701846,0.7100591715976331,0.03575655114116651,169
zs_cov,geum,S03009,toc,0.33519015704666955,0.07129045672998838,0.02923682472710598,0.7396449704142012,0.02983939137785291,169
zs_nocov,yeong,S04008,toc,0.18121700062622015,0.1325074821781505,0.06247741167620692,0.7730061349693251,0.06617002629272568,163
zs_cov,yeong,S04008,toc,0.10603009617020542,0.13845780507839722,0.06593593377984579,0.803680981595092,0.06354075372480279,163
zs_nocov,han,S01001,tn,0.4291139320168794,0.257922193297207,0.07277197599663256,0.7003257328990228,0.055328059562587247,307
zs_cov,han,S01001,tn,0.43504042891488814,0.25657992641472654,0.0719038917616006,0.6938110749185668,0.05300139599813867,307
zs_nocov,nak,S02020,tn,0.17175023855671345,0.6145012765686886,0.21462373630897777,0.7428571428571429,0.036507936507936496,315
zs_cov,nak,S02020,tn,0.17281317753663228,0.6141068381457757,0.21442311591899257,0.726984126984127,0.03650793650793651,315
zs_nocov,geum,S03009,tn,-0.49339696964006086,0.19417311369142626,0.09330718043777966,0.8698224852071006,0.03533389687235842,169
zs_cov,geum,S03009,tn,-0.5639387361508179,0.19870615980493644,0.09629529854733031,0.8757396449704142,0.03871513102282333,169
zs_nocov,yeong,S04008,tn,-0.1367861378968751,0.1719507620976864,0.07169902860494841,0.8834355828220859,0.047239263803680986,163
zs_cov,yeong,S04008,tn,-0.1516829533540387,0.17307374445977453,0.07530129264028737,0.901840490797546,0.052497808939526734,163
zs_nocov,han,S01001,tp,0.39384159365385085,0.0015627372726258852,0.0005638881828151377,0.875,0.031109022556390982,304
zs_cov,han,S01001,tp,0.40271260846983337,0.0015512599419723772,0.0005639887569773746,0.875,0.029699248120300774,304
zs_nocov,nak,S02020,tp,0.5887347904466778,0.010916486604056991,0.004026067699868103,0.8683385579937304,0.03887147335423198,319
zs_cov,nak,S02020,tp,0.5857422214281892,0.010956131492964523,0.0040231268775623285,0.8652037617554859,0.034482758620689634,319
zs_nocov,geum,S03009,tp,0.4322646296896261,0.0013633312901845814,0.0005634545553548297,0.8165680473372781,0.03668639053254437,169
zs_cov,geum,S03009,tp,0.39352500710621385,0.001409077484829298,0.0005929753936305987,0.7988165680473372,0.03508030431107355,169
zs_nocov,yeong,S04008,tp,0.11819583514613419,0.0016053905137568669,0.0007585800777168174,0.7380952380952381,0.04506802721088437,168
zs_cov,yeong,S04008,tp,0.11197787562597761,0.0016110407012731155,0.0007678712802480454,0.7857142857142857,0.05697278911564627,168
zs_nocov,han,S01001,chl-a,0.3841896623836695,2.987672076464135,1.1681698157783258,0.8164556962025317,0.009403254972875233,316
zs_cov,han,S01001,chl-a,0.3874180908291457,2.9798302459880968,1.1727542873906536,0.8037974683544303,0.010216998191681741,316
zs_nocov,nak,S02020,chl-a,0.04080493438605037,10.676603890685504,4.1427368470505925,0.6687116564417178,0.053111305872042054,326
zs_cov,nak,S02020,chl-a,0.03268047673933139,10.721724385948653,4.190895156174018,0.6625766871165644,0.05661700262927257,326
zs_nocov,geum,S03009,chl-a,-0.2521734944728198,2.187317814925337,0.9155514333408606,0.6449704142011834,0.07210481825866442,169
zs_cov,geum,S03009,chl-a,-0.26386217139576496,2.197503090150241,0.9225045994301161,0.650887573964497,0.07041420118343193,169
zs_nocov,yeong,S04008,chl-a,-0.05640387445898187,2.4802627191541475,1.1094380971571671,0.7142857142857143,0.040476190476190485,168
zs_cov,yeong,S04008,chl-a,-0.1998533376700391,2.643301940152306,1.1142297066262015,0.7321428571428571,0.0326530612244898,168
