river,station,target,legacy_nse,legacy_rmse,chr512_nse,chr512_rmse,chr512_crps,chr512_cov80,delta_nse,n
han,S01001,do,0.13066910962120903,1.782192990069562,0.8429885119779505,0.7574045153905535,0.32593460881004405,0.690537084398977,0.7123194023567415,391
nak,S02020,do,0.7474627974812718,1.527335812859893,0.8114239562325392,1.3198212382864787,0.5905049387525685,0.7586206896551724,0.0639611587512674,377
geum,S03009,do,0.9223363052721133,0.8501907419652113,0.9593563785349348,0.6150402619621776,0.2847293174402497,0.5935334872979214,0.03702007326282153,433
yeong,S04008,do,0.5822054155245571,1.2354900241164943,0.7109353433587625,1.0276739246255093,0.4244312491520298,0.6620370370370371,0.12872992783420545,432
han,S01001,toc,0.015815118494464153,0.3351484643184165,0.7084296202256046,0.18241921828851596,0.0829828044952017,0.7898936170212766,0.6926145017311405,376
nak,S02020,toc,0.3268543762613596,0.5499800974314426,0.3146073447268284,0.5549606413089806,0.21945440683281278,0.7338501291989664,-0.012247031534531216,387
geum,S03009,toc,-1.18562527497008,0.3389687152873999,0.7245584176616641,0.12033349136071171,0.050881375027393726,0.7380952380952381,1.910183692631744,420
yeong,S04008,toc,0.27985493795974825,0.3086212299479126,0.48908723221597683,0.2599496171279723,0.0934643399070076,0.7748815165876777,0.20923229425622858,422
han,S01001,tn,-0.6299036753313234,0.38184509178006654,0.723336168608466,0.157319456202093,0.06552462647271305,0.7005208333333334,1.3532398439397895,384
nak,S02020,tn,0.1442272133040885,0.632379353243833,0.3557166205275254,0.5487024635910377,0.21664082289180148,0.7050938337801609,0.2114894072234369,373
geum,S03009,tn,0.6488493673600346,0.15411335029393486,0.7463353898017044,0.13098557616384313,0.058302853393230034,0.8018867924528302,0.09748602244166982,424
yeong,S04008,tn,0.21746040376415654,0.3198566684323666,0.8292961400018748,0.1493908228012558,0.06668330831577686,0.8519417475728155,0.6118357362377183,412
han,S01001,tp,0.07830069408528906,0.002718156693717015,0.2196273955872855,0.002501098904912038,0.001012363635854267,0.8181818181818182,0.14132670150199644,363
nak,S02020,tp,0.5803905390168893,0.012335381737530385,0.48811892654254574,0.013624309289198994,0.0050753602176139756,0.8059299191374663,-0.09227161247434357,371
geum,S03009,tp,0.5461178631023811,0.008868408651886296,0.8089591935491783,0.005753567637587919,0.0022032968321202308,0.7967289719626168,0.26284133044679725,428
yeong,S04008,tp,-123876403.06927909,34.69324592278373,0.5634942517885535,0.0020594233058196737,0.0009139318519844534,0.8,123876403.63277334,410
han,S01001,chl-a,0.22395666157677074,9.260386617203348,0.3319889515182446,8.59167724161808,2.862685457430371,0.7686567164179104,0.10803228994147385,402
nak,S02020,chl-a,0.24907320864352578,11.407767508170709,0.187877190358391,11.863496766389297,4.699190695766448,0.7486772486772487,-0.06119601828513477,378
geum,S03009,chl-a,0.29022990986606545,1.3027001633191562,0.26911031693451215,1.321939368153161,0.5155098715248344,0.7552941176470588,-0.0211195929315533,425
yeong,S04008,chl-a,0.42497776888744787,15.920605555527722,0.38357895019729327,16.483749089373596,4.559151161713986,0.7240566037735849,-0.041398818690154604,424
