river,target,chr_nse,chr_rsr,chr_pbias,leg_nse,leg_rsr,leg_pbias,crps,crps_clim,crps_skill,cov80,cov90,n,rating
geum,chl-a,0.26911031693451215,0.8549208636274398,1.589888003131102,0.29022990986606545,0.8424785398655176,3.861700740334285,0.5155098715248344,0.7965481414777005,0.3528201941837482,0.7552941176470588,0.8658823529411764,425,Unsatisfactory
geum,do,0.9593563785349348,0.20160263258465927,-0.418726706210926,0.9223363052721133,0.27868206746736807,4.691125862666981,0.2847293174402497,1.68650416309164,0.8311718858029417,0.5935334872979214,0.7205542725173211,433,VeryGood
geum,tn,0.7463353898017044,0.5036512783645999,1.6507205014434343,0.6488493673600346,0.5925796424447648,2.6595989961666584,0.058302853393230034,0.14818365349259402,0.6065500342374543,0.8018867924528302,0.9080188679245284,424,Good
geum,toc,0.7245584176616641,0.5248252874417695,0.3312623082312749,-1.18562527497008,1.4783860371939666,12.57790011694169,0.050881375027393726,0.13040557321836435,0.6098220822035514,0.7380952380952381,0.8285714285714286,420,Good
geum,tp,0.8089591935491783,0.4370821506888856,0.06981359408578235,0.5461178631023811,0.6737077533304919,17.290000458466608,0.0022032968321202308,0.005792338488092947,0.6196187711319961,0.7967289719626168,0.8948598130841121,428,VeryGood
han,chl-a,0.3319889515182446,0.8173194286701836,7.664862329508485,0.22395666157677074,0.8809332201837035,26.841591776822504,2.862685457430371,4.994821420922926,0.42686930799191336,0.7686567164179104,0.8830845771144279,402,Unsatisfactory
han,do,0.8429885119779505,0.3962467514340647,-0.655471021362686,0.13066910962120903,0.9323791559117948,11.649129800383108,0.32593460881004405,1.0832826482175635,0.6991232072752778,0.690537084398977,0.8056265984654731,391,VeryGood
han,tn,0.723336168608466,0.5259884327544989,-0.5663826069339587,-0.6299036753313234,1.2766768092713692,12.360652680977886,0.06552462647271305,0.16075661607159974,0.592398570746669,0.7005208333333334,0.8098958333333334,384,Good
han,toc,0.7084296202256046,0.5399725731686706,1.3121840817624015,0.015815118494464153,0.9920609263072181,9.657459661629138,0.0829828044952017,0.18887524822055157,0.5606475423486839,0.7898936170212766,0.8803191489361702,376,Good
han,tp,0.2196273955872855,0.8833870071563847,-1.3435888620556098,0.07830069408528906,0.9600517204373475,8.147374183861182,0.001012363635854267,0.0014364026971556293,0.2952090400143679,0.8181818181818182,0.8787878787878788,363,Unsatisfactory
nak,chl-a,0.187877190358391,0.9011785670118929,5.085995745628081,0.24907320864352578,0.8665603218221304,-0.6639079587430369,4.699190695766448,7.155870894270768,0.34330974311892926,0.7486772486772487,0.8359788359788359,378,Unsatisfactory
nak,do,0.8114239562325392,0.43425343264902444,-1.255650376899746,0.7474627974812718,0.5025307975823254,3.8461948725863824,0.5905049387525685,1.733304496562634,0.6593184060137063,0.7586206896551724,0.8461538461538461,377,VeryGood
nak,tn,0.3557166205275254,0.8026726477664943,0.7195192866355766,0.1442272133040885,0.9250798812512958,11.130824088667673,0.21664082289180148,0.37291499892126667,0.4190611170951032,0.7050938337801609,0.7935656836461126,373,Unsatisfactory
nak,toc,0.3146073447268284,0.8278844456040779,1.9706239084447592,0.3268543762613596,0.8204545226510974,4.546169211526154,0.21945440683281278,0.3537403046916834,0.3796171826558268,0.7338501291989664,0.8320413436692506,387,Unsatisfactory
nak,tp,0.48811892654254574,0.7154586455256895,8.885474664853087,0.5803905390168893,0.6477726923721859,5.728078970137287,0.0050753602176139756,0.009470469969572072,0.464085707053532,0.8059299191374663,0.8733153638814016,371,Unsatisfactory
yeong,chl-a,0.38357895019729327,0.7851248625554453,0.9890566582338415,0.42497776888744787,0.7583022030249895,19.859107586467832,4.559151161713986,8.290168875666433,0.45005328237689446,0.7240566037735849,0.8632075471698113,424,Unsatisfactory
yeong,do,0.7109353433587625,0.5376473348220351,-0.9885635077309398,0.5822054155245571,0.6463703152802137,6.086521663273079,0.4244312491520298,1.0931039617322675,0.6117192289016833,0.6620370370370371,0.8055555555555556,432,Good
yeong,tn,0.8292961400018748,0.4131632365035946,-0.42628804308836554,0.21746040376415654,0.8846126814803434,10.923029243887882,0.06668330831577686,0.19408424800262053,0.6564208120852935,0.8519417475728155,0.912621359223301,412,VeryGood
yeong,toc,0.48908723221597683,0.7147816224442423,-0.23915010448062923,0.27985493795974825,0.8486136117458002,7.374896925357405,0.0934643399070076,0.16534304647216316,0.4347247017567014,0.7748815165876777,0.8649289099526066,422,Unsatisfactory
yeong,tp,0.5634942517885535,0.6606858165659729,2.0171326875147764,-123876403.06927909,11129.977720969575,405520.4183777274,0.0009139318519844534,0.0017762590267655855,0.48547377481951803,0.8,0.8731707317073171,410,Satisfactory
